"","fips","2010","2014","2016","2018","2020"
"292","08099",0.893,0.9,0.8653,0.8329,0.8714
"293","08101",0.6639,0.6387,0.617,0.5715,0.5522
"294","08103",0.6457,0.6173,0.7549,0.8714,0.7282
"295","08105",0.7663,0.73,0.6998,0.6406,0.5974
"296","08107",0.1979,0.1659,0.1296,0.113,0.0894
"297","08109",0.4761,0.4234,0.5661,0.418,0.4243
"298","08111",0.0512,0.0019,0.0022,0.0038,0.1229
"299","08113",0.1037,0.1047,0.1324,0.0996,0.0703
"300","08115",0.0862,0.1738,0.2047,0.5715,0.9131
"301","08117",0.0289,0.0341,0.0376,0.0379,0.0547
"302","08119",0.1578,0.128,0.0987,0.0895,0.0703
"303","08121",0.5047,0.3442,0.4288,0.5715,0.4806
"304","08125",0.8555,0.8972,0.9175,0.915,0.9192
"305","09001",0.7075,0.6788,0.6479,0.5915,0.5522
"306","09003",0.4296,0.4008,0.3833,0.3505,0.3428
"307","09005",0.267,0.2101,0.1573,0.1242,0.113
"308","09007",0.2253,0.1866,0.135,0.1025,0.0894
"309","09009",0.3625,0.3365,0.3123,0.2748,0.2645
"310","09011",0.287,0.2579,0.2267,0.1996,0.2046
"311","09013",0.1413,0.1264,0.0984,0.0786,0.0738
"312","09015",0.3561,0.313,0.2732,0.2353,0.2279
"313","10001",0.7218,0.6861,0.6527,0.6176,0.6238
"314","10003",0.485,0.462,0.4438,0.418,0.4077
"315","10005",0.1553,0.1678,0.1627,0.1344,0.1343
"316","11001",0.0194,0.0379,0.0532,0.0764,0.1025
"317","12001",0.0394,0.0583,0.071,0.0847,0.1025
"318","12003",0.8345,0.8176,0.7743,0.7405,0.6639
"319","12005",0.3084,0.3438,0.3658,0.3862,0.3574
"320","12007",0.1101,0.1487,0.1891,0.2471,0.2046
"321","12009",0.1139,0.106,0.1089,0.107,0.1165
"322","12011",0.3653,0.3649,0.3687,0.3629,0.3673
"323","12013",0.2482,0.2681,0.3184,0.3629,0.2559
"324","12015",0.0044,0.0057,0.0045,0.0032,0.0045
"325","12017",0.0117,0.0156,0.0134,0.0134,0.0181
"326","12019",0.8526,0.801,0.7459,0.695,0.6639
"327","12021",0.0935,0.0911,0.0805,0.0735,0.0668
"328","12023",0.3809,0.376,0.4062,0.4323,0.4243
"329","12027",0.3761,0.32,0.276,0.1853,0.1881
"330","12029",0.0776,0.1168,0.1041,0.113,0.1073
"331","12031",0.5308,0.5406,0.5406,0.545,0.5659
"332","12033",0.267,0.2783,0.2935,0.3091,0.3316
"333","12035",0.119,0.1012,0.0786,0.0675,0.0614
"334","12037",0.0241,0.0334,0.0331,0.035,0.035
"335","12039",0.6212,0.4788,0.4686,0.4323,0.4398
"336","12041",0.2511,0.2337,0.2722,0.2353,0.395
"337","12043",0.0614,0.0742,0.0385,0.0274,0.0223
"338","12045",0.0159,0.0178,0.0264,0.035,0.0156
"339","12047",0.1047,0.0825,0.1149,0.1344,0.168
"340","12049",0.9108,0.9242,0.9153,0.9045,0.9055
"341","12051",0.9143,0.9328,0.9354,0.9201,0.9258
"342","12053",0.1113,0.1111,0.1137,0.113,0.1229
"343","12055",0.0474,0.0637,0.0618,0.0605,0.0614
"344","12057",0.5903,0.5782,0.5944,0.5715,0.522
"345","12059",0.2581,0.2168,0.2079,0.1853,0.2447
"346","12061",0.0626,0.0669,0.0557,0.0487,0.0385
"347","12063",0.1203,0.1006,0.1082,0.113,0.1295
"348","12065",0.0563,0.0564,0.0439,0.035,0.0417
"349","12067",0.1349,0.199,0.2779,0.5151,0.2279
"350","12069",0.1861,0.1936,0.191,0.1853,0.1773
"351","12071",0.0957,0.1051,0.1019,0.0895,0.0856
"352","12073",0.0996,0.1149,0.1117,0.1188,0.1343
"353","12075",0.2224,0.2162,0.2136,0.2089,0.2046
"354","12077",0.2307,0.1888,0.1248,0.0446,0.1165
"355","12079",0.2905,0.234,0.2012,0.1344,0.1165
"356","12081",0.1626,0.1681,0.1547,0.1289,0.1165
"357","12083",0.0881,0.1009,0.1102,0.1188,0.1404
"358","12085",0.033,0.0404,0.043,0.0417,0.0452
"359","12086",0.2985,0.2779,0.2604,0.255,0.2817
"360","12087",0.0076,0.0121,0.0131,0.0153,0.0264
"361","12089",0.2819,0.2604,0.2477,0.2254,0.2279
"362","12091",0.3586,0.4171,0.4521,0.4756,0.508
"363","12093",0.5967,0.5536,0.5326,0.418,0.3791
"364","12095",0.5343,0.5307,0.5301,0.5151,0.4968
"365","12097",0.8481,0.8418,0.83,0.8106,0.7941
"366","12099",0.1483,0.1675,0.1691,0.1691,0.168
"367","12101",0.2272,0.2413,0.2496,0.255,0.2724
"368","12103",0.0366,0.0443,0.0455,0.0417,0.0417
"369","12105",0.5289,0.5323,0.5253,0.504,0.4968
"370","12107",0.3933,0.3916,0.3961,0.3747,0.395
"371","12109",0.4608,0.4387,0.4282,0.4323,0.4577
"372","12111",0.3542,0.3231,0.2833,0.2471,0.2279
"373","12113",0.5887,0.5294,0.5103,0.4756,0.4806
"374","12115",0.0101,0.0153,0.0115,0.0111,0.013
"375","12117",0.4493,0.3859,0.3633,0.3505,0.3428
"376","12119",3e-04,6e-04,6e-04,3e-04,6e-04
"377","12121",0.4162,0.355,0.3489,0.3999,0.4077
"378","12123",0.1059,0.0926,0.1382,0.1506,0.1881
"379","12125",0.0891,0.1238,0.128,0.1289,0.1295
"380","12127",0.0646,0.0758,0.0735,0.0786,0.0856
"381","12129",0.3809,0.2993,0.298,0.3629,0.3316
"382","12131",0.1674,0.1786,0.2451,0.2471,0.2817
"383","12133",0.2243,0.2273,0.2006,0.1996,0.1973
"384","13001",0.8141,0.8252,0.8434,0.8274,0.8281
"385","13003",0.9439,0.9478,0.9551,0.937,0.9223
"386","13005",0.7905,0.7934,0.8682,0.8653,0.8803
"387","13007",0.4812,0.3483,0.0551,0.1996,0.0649
"388","13009",0.1553,0.1506,0.1477,0.1506,0.1404
"389","13011",0.7644,0.7061,0.6469,0.5915,0.6117
"390","13013",0.9258,0.9271,0.921,0.9074,0.8985
"391","13015",0.8771,0.8513,0.8408,0.8017,0.7661
"392","13017",0.864,0.865,0.8793,0.8469,0.8281
"393","13019",0.802,0.7313,0.7593,0.7529,0.7661
"394","13021",0.8176,0.8354,0.8284,0.8106,0.7855
"395","13023",0.3956,0.3878,0.4642,0.4323,0.2164
"396","13025",0.8688,0.8052,0.852,0.7405,0.7661
"397","13027",0.5588,0.4779,0.4021,0.4323,0.4806
"398","13029",0.9525,0.9551,0.9612,0.965,0.9701
"399","13031",0.16,0.2018,0.1859,0.2162,0.2387
"400","13033",0.9258,0.907,0.8953,0.8911,0.8985
"401","13035",0.3822,0.3789,0.3454,0.2846,0.2559
"402","13037",0.1072,0.1251,0.1159,0.0786,0.0818
"403","13039",0.8879,0.8676,0.8214,0.7854,0.7769
"404","13043",0.8049,0.8539,0.8338,0.8329,0.8456
"405","13045",0.787,0.7663,0.7615,0.7262,0.7282
"406","13047",0.7266,0.6998,0.6673,0.6176,0.5837
"407","13049",0.2819,0.1379,0.1496,0.1439,0.1404
"408","13051",0.4016,0.4228,0.4365,0.418,0.3673
"409","13053",0.8914,0.8411,0.574,0.3747,0.3316
"410","13055",0.3851,0.4632,0.4413,0.5304,0.5659
"411","13057",0.9061,0.8956,0.8838,0.8469,0.7941
"412","13059",0.0311,0.0455,0.0544,0.0646,0.0738
"413","13061",0.3863,0.9557,0.7864,0.1773,0.2164
"414","13063",0.9401,0.9462,0.9497,0.9522,0.9513
"415","13065",0.8924,0.9137,0.923,0.915,0.8714
"416","13067",0.8071,0.7911,0.7908,0.7529,0.6986
"417","13069",0.8481,0.8106,0.8071,0.7927,0.8049
"418","13071",0.9102,0.9147,0.9102,0.9007,0.8902
"419","13073",0.8978,0.8908,0.8863,0.8714,0.8596
"420","13075",0.8952,0.8949,0.9035,0.8819,0.8714
"421","13077",0.9016,0.8873,0.872,0.8329,0.7941
"422","13079",0.4131,0.3763,0.3655,0.3419,0.2903
"423","13081",0.8418,0.823,0.7931,0.8188,0.7562
"424","13083",0.267,0.2076,0.1404,0.1289,0.168
"425","13085",0.4201,0.4062,0.3442,0.3216,0.2447
"426","13087",0.7854,0.7953,0.8039,0.7927,0.7769
"427","13089",0.5817,0.6342,0.6772,0.6406,0.6489
"428","13091",0.4923,0.3133,0.2993,0.2162,0.1881
"429","13093",0.2253,0.2079,0.1703,0.093,0.0738
"430","13095",0.8125,0.8128,0.8173,0.766,0.7282
"431","13097",0.9277,0.9207,0.9121,0.9007,0.8934
"432","13099",0.8548,0.8087,0.8147,0.8188,0.8361
"433","13101",0.9538,0.9347,0.9341,0.3862,0.7562
"434","13103",0.9322,0.923,0.9185,0.915,0.916
"435","13105",0.4942,0.455,0.4371,0.4323,0.4577
"436","13107",0.7854,0.7997,0.8134,0.8329,0.8361
"437","13109",0.8176,0.8717,0.8902,0.9045,0.9192
"438","13111",0.0767,0.0646,0.064,0.056,0.0477
"439","13113",0.8567,0.7797,0.7052,0.6406,0.6359
"440","13115",0.6473,0.6463,0.6641,0.6406,0.6359
"441","13117",0.9704,0.9647,0.9589,0.9548,0.9418
"442","13119",0.3723,0.3795,0.4292,0.4502,0.4714
"443","13121",0.5798,0.5877,0.5524,0.5151,0.4577
"444","13123",0.3157,0.2904,0.2668,0.1936,0.168
"445","13125",0.8574,0.7975,0.7918,0.6406,0.508
"446","13127",0.6212,0.5998,0.5864,0.5151,0.4577
"447","13129",0.8847,0.872,0.8504,0.8274,0.7855
"448","13131",0.8109,0.8386,0.8373,0.8188,0.8125
"449","13133",0.1705,0.1636,0.1493,0.1506,0.1343
"450","13135",0.949,0.9436,0.9417,0.937,0.9319
"451","13137",0.5919,0.5498,0.5562,0.545,0.5522
"452","13139",0.9172,0.9118,0.9019,0.8867,0.8596
"453","13141",0.049,0.0372,0.0143,0.0092,0.0019
"454","13143",0.753,0.7714,0.774,0.766,0.7282
"455","13145",0.5706,0.4922,0.4826,0.4323,0.395
"456","13147",0.3446,0.3556,0.3298,0.3216,0.3011
