"","fips","2000","2010","2014","2016","2018","2020"
"368","12107",0.7417,0.8943,0.93,0.9494,0.949,0.9771
"369","12109",0.0334,0.0755,0.0745,0.0678,0.0777,0.2339
"370","12111",0.4009,0.6024,0.6883,0.6855,0.6096,0.8109
"371","12113",0.1898,0.3569,0.304,0.2996,0.2436,0.4761
"372","12115",0.0283,0.228,0.2238,0.1856,0.114,0.3651
"373","12117",0.0484,0.1445,0.2563,0.2493,0.1965,0.3743
"374","12119",0.4057,0.5011,0.3426,0.2467,0.15,0.1961
"375","12121",0.827,0.7587,0.8988,0.9105,0.8258,0.6486
"376","12123",0.7245,0.8676,0.8112,0.7733,0.8812,0.7136
"377","12125",0.6117,0.893,0.8978,0.9573,0.9596,0.5207
"378","12127",0.3531,0.3926,0.5635,0.517,0.4525,0.6267
"379","12129",0.3468,0.4655,0.4884,0.5365,0.4688,0.2024
"380","12131",0.4222,0.4403,0.5024,0.518,0.3561,0.5955
"381","12133",0.7353,0.8402,0.8691,0.8927,0.9322,0.9529
"382","13001",0.7656,0.7287,0.8048,0.8736,0.8818,0.8192
"383","13003",0.9063,0.971,0.9306,0.8532,0.979,0.9427
"384","13005",0.7907,0.7701,0.7284,0.7144,0.8408,0.7794
"385","13007",0.8636,0.8456,0.6845,0.5218,0.729,0.9195
"386","13009",0.6856,0.8415,0.843,0.8768,0.9131,0.9271
"387","13011",0.4812,0.7596,0.7189,0.7841,0.714,0.7673
"388","13013",0.3566,0.6702,0.6549,0.6864,0.5675,0.691
"389","13015",0.3283,0.5661,0.6921,0.6256,0.5717,0.7887
"390","13017",0.9009,0.9844,0.9529,0.8991,0.8204,0.9761
"391","13019",0.699,0.922,0.9497,0.9344,0.9621,0.8934
"392","13021",0.6694,0.767,0.8399,0.8481,0.821,0.958
"393","13023",0.7197,0.7042,0.7494,0.744,0.8194,0.6566
